scope,position,item,count,frequency_within_position
token_internal_glyph,final,Cp,1,3.639407504458274e-05
token_internal_glyph,final,H2,1,3.639407504458274e-05
token_internal_glyph,final,H3,1,3.639407504458274e-05
token_internal_glyph,final,Kb,1,3.639407504458274e-05
token_internal_glyph,final,Kk,1,3.639407504458274e-05
token_internal_glyph,final,Km,1,3.639407504458274e-05
token_internal_glyph,final,Lb,1,3.639407504458274e-05
token_internal_glyph,final,Lg,1,3.639407504458274e-05
token_internal_glyph,final,Lh,1,3.639407504458274e-05
token_internal_glyph,final,Lo,1,3.639407504458274e-05
token_internal_glyph,final,Lr,1,3.639407504458274e-05
token_internal_glyph,final,Md,1,3.639407504458274e-05
token_internal_glyph,final,S2,1,3.639407504458274e-05
token_internal_glyph,final,T3,1,3.639407504458274e-05
token_internal_glyph,final,Tc,1,3.639407504458274e-05
token_internal_glyph,final,Tq,1,3.639407504458274e-05
token_internal_glyph,final,Tr,1,3.639407504458274e-05
token_internal_glyph,final,Ua,1,3.639407504458274e-05
token_internal_glyph,final,Ub,1,3.639407504458274e-05
token_internal_glyph,final,Ul,1,3.639407504458274e-05
token_internal_glyph,final,W2,1,3.639407504458274e-05
token_internal_glyph,final,Wm,1,3.639407504458274e-05
token_internal_glyph,final,Wn,1,3.639407504458274e-05
token_internal_glyph,final,Xb,1,3.639407504458274e-05
token_internal_glyph,final,Xe,1,3.639407504458274e-05
token_internal_glyph,final,Xn,1,3.639407504458274e-05
token_internal_glyph,final,Yd,1,3.639407504458274e-05
