replicate,token_markov_bits_per_event,matched_trigram_bits_per_event,delta_token_minus_trigram_bits_per_event
365,2.3265695791316,2.2186279686641464,0.10794161046745376
366,2.4867744395911453,2.3664463310931425,0.1203281084980028
367,2.4466626650877226,2.318681429313724,0.12798123577399867
368,2.5403687898160103,2.4020037585378455,0.1383650312781648
369,2.3519457457883597,2.2303894974871277,0.12155624830123202
370,2.5857759735012777,2.439357645570569,0.14641832793070853
371,2.287887604839749,2.1901286533725823,0.09775895146716662
372,2.438734913801666,2.3231989288672272,0.11553598493443884
373,2.60007684642602,2.449431815186976,0.15064503123904416
374,2.647090058050129,2.4976973200431902,0.14939273800693886
375,2.4463452963632846,2.3213363728129797,0.1250089235503049
376,2.3706576037995393,2.2491522384579743,0.12150536534156497
377,2.569050821851227,2.4201725714034765,0.14887825044775038
378,2.514830625623844,2.38445472398669,0.13037590163715418
379,2.3412662274475027,2.229971930480144,0.11129429696735871
380,2.5723110089971506,2.440045432503305,0.1322655764938454
381,2.3637361440106996,2.249543165013102,0.11419297899759773
382,2.6513317686115205,2.495505818632409,0.15582594997911148
383,2.5790538455212206,2.43233957077282,0.1467142747484007
384,2.367708071296874,2.2539768651180756,0.1137312061787985
385,2.4637929100461387,2.328569681517471,0.13522322852866786
386,2.4274210541659897,2.2996995576479797,0.12772149651801
387,2.4446752178341375,2.322816766338283,0.1218584514958545
388,2.4610020941499755,2.3450151993759354,0.11598689477404012
389,2.5320720194424045,2.405701810208027,0.12637020923437747
390,2.5509068228124367,2.4074854432378947,0.14342137957454204
391,2.408628603276407,2.292548122042485,0.11608048123392178
392,2.3968611105403954,2.2745759578112583,0.12228515272913709
393,2.426139707054785,2.295683491628172,0.13045621542661312
394,2.504822480736715,2.383147568501273,0.12167491223544236
395,2.545310718607599,2.418368531954185,0.12694218665341372
396,2.531164484759626,2.393270715118274,0.13789376964135203
397,2.624928783952262,2.488891948369359,0.13603683558290314
398,2.2956821625565573,2.1900724262880797,0.10560973626847758
399,2.3756022094537097,2.265158705623956,0.11044350382975354
400,2.4798237003391512,2.349386215402997,0.13043748493615404
401,2.47094682764386,2.345928139395149,0.1250186882487112
402,2.522257595058,2.381225461726095,0.14103213333190512
403,2.3266195439083934,2.2206973962762797,0.10592214763211372
404,2.4614278664355345,2.3335936558309744,0.12783421060456002
405,2.4673803652871262,2.3377982284075975,0.1295821368795287
406,2.3880050877084917,2.2702193917661977,0.11778569594229404
407,2.4352042235991864,2.307705469627951,0.12749875397123533
408,2.4271667700187423,2.303567245725287,0.12359952429345533
409,2.5416713296423623,2.4148860552195477,0.12678527442281462
410,2.4579975315144154,2.326650979148108,0.13134655236630755
411,2.571443477679512,2.4313527682750893,0.1400907094044226
412,2.410591981324528,2.293116121354897,0.11747585996963084
413,2.480657724744397,2.347075500346197,0.13358222439819967
414,2.371457756412142,2.2591101378669762,0.11234761854516595
415,2.3642803901310074,2.261146225422357,0.10313416470865056
416,2.507240565580201,2.375615573388953,0.1316249921912478
