replicate,copy_edit_bits_per_event,matched_trigram_bits_per_event,delta_copy_minus_trigram_bits_per_event
428,3.4702190313311103,2.3736026941416415,1.0966163371894688
429,3.4991200818644637,2.3854684618684225,1.1136516199960411
430,3.4707657541711687,2.3898015395888357,1.080964214582333
431,3.444809889357569,2.303948522341677,1.140861367015892
432,3.4814177738379493,2.3749525719756686,1.1064652018622807
433,3.5143263914676646,2.468762618713606,1.0455637727540585
434,3.4559368423068997,2.327079993292626,1.1288568490142739
435,3.4384562549034414,2.2253504742416585,1.2131057806617829
436,3.4341207609827786,2.275731082332664,1.1583896786501144
437,3.473727939426693,2.3517040198945223,1.1220239195321708
438,3.491541424568095,2.327778966671974,1.1637624578961212
439,3.510670505662911,2.384673622506804,1.1259968831561067
440,3.430291060802062,2.273029255751356,1.1572618050507062
441,3.423786841243143,2.226454337736797,1.1973325035063458
442,3.447149805330914,2.302810493276583,1.1443393120543308
443,3.452328913401574,2.2876035865574966,1.1647253268440774
444,3.4304877737399453,2.2757162711855736,1.1547715025543717
445,3.504712366540863,2.420915231065916,1.083797135474947
446,3.457367989510404,2.372255611593709,1.085112377916695
447,3.4783115449237334,2.3674715560615485,1.110839988862185
448,3.5289036541161365,2.405762335860677,1.1231413182554597
449,3.5163515840446076,2.409811560353959,1.1065400236906484
450,3.460158139027738,2.2904538167169064,1.1697043223108317
451,3.5083178929109797,2.4031473015363742,1.1051705913746055
452,3.5047058420084807,2.4263568725908473,1.0783489694176334
453,3.4600880608481535,2.323029029275883,1.1370590315722704
454,3.461890191797367,2.3267437075207296,1.1351464842766372
455,3.442716847340586,2.2492342119825968,1.1934826353579893
456,3.385732491208578,2.199711773939312,1.1860207172692663
457,3.4368136257100503,2.277049027159273,1.1597645985507774
458,3.4566579668196384,2.3553976899799904,1.101260276839648
459,3.509975728035249,2.4345265636421445,1.0754491643931043
460,3.4866614635938777,2.351353547444496,1.1353079161493818
461,3.4687010047290436,2.304740042681984,1.1639609620470597
462,3.4191722241914766,2.254658713886675,1.1645135103048014
463,3.4433108006420077,2.30147090189188,1.1418398987501277
464,3.472060732434266,2.300826477818378,1.171234254615888
465,3.517251895414106,2.4068043585622867,1.1104475368518192
466,3.459535869743398,2.3263930965786876,1.1331427731647103
467,3.4957540147483903,2.3095105740849258,1.1862434406634645
468,3.4833135919091536,2.315454631613544,1.1678589602956095
469,3.5142607437355045,2.426556058462574,1.0877046852729304
470,3.4970850907684,2.337838031625474,1.1592470591429263
